brands,code,ecoscore_grade,ingredients_text,packaging_tags,packaging_text,product_name
Charles & Alice,3297760097051,a,"Pommes 85,2% (purée et purée concentrée), purée de framboises 14,5%, jus concentré de carotte pourpre, antioxydant: acide ascorbique","['en:plastic', 'en:paper-or-cardboard', 'en:cardboard', 'en:pot', 'fr:pot-en-plastique']",,Pommes Framboises
Chobani,0894700010137,a,"_cultured nonfat milk_, S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus, L. Casei, L. Rhamnosus","['en:plastic', 'en:pet-lid', 'en:pp-pot']",,Greek Yogurt Nonfat Plain
Kirkland Signature,0096619555505,d,"Dry roasted organic peanuts, sea salt","['en:plastic', 'en:pet-polyethylene-terephthalate']",,Organic Creamy Peanut Butter
Jif,0051500255162,d,"MADE FROM ROASTED PEANUTS AND SUGAR, CONTAINS 2% OR LESS OF: MOLASSES, FULLY HYDROGENATED VEGETABLE OILS (RAPESEED AND SOYBEAN), MONO AND DIGLYCERIDES, SALT.",['en:plastic'],,Creamy Peanut Butter
Tajín,0633148100013,unknown,"chili peppers, sea salt, citric acid, dehydrated lime juice, silicon dioxide",['en:plastic'],,
Post,0884912004710,c,"whole grain wheat flour, malted barley flour, salt, dried yeast, vitamins and minerals: reduced iron, niacinamide, zinc oxide (source of zinc), vitamin b6, thiamin mononitrate (vitamin b1), folic acid.","['en:plastic', 'en:cardboard-box']",,Grape-nuts
"Alesto, Lidl",20333737,d,"33% cashewnötter, 32 % jordnötter, socker, 3% honung, solrosolja geleringsmedel (gummi arabicum), salt, shea fett","['en:plastic', 'en:other-plastics', 'en:produkt']",,Roasted Cashew-Peanut-Mix Honey & Salt
Universal Bakery,0731216103987,b,"Organic Rolled Oats, Organic 1 Oat Flour, Organic Unsalted Butter, Organic 1 Canola Oil, Organic Dried Apricots, Organic 1 Sugar, Organic Cane and Invert Sugar, Organic Raisins, Organic Flax Seeds, Organic Sunflower Seeds, Organic Honey, Organic Shredded Coconut, Organic Quinoa, Organic Chia Seeds, Sea Salt, Baking Soda, Organic I Vanilla. CONTAINS: Oats and Milk. May I contain Wheat, Soy Eggs, Peanuts and Tree 1 Nuts.","['en:plastic', 'en:pet-polyethylene-terephthalate', 'bg:made-from-recycled-bottles']",,Aussie Bites
SKIPPY,0037600110754,d,"roasted peanuts, sugar, hydrogenated vegetable oil (cottonseed, soybean and rapeseed oil) to prevent separation, salt.","['en:plastic', 'en:jar']",,Peanut Butter
"Francine, Francine (R)",3068110801235,a-plus,Farine de blé type 45.,"['en:plastic', 'en:paper', 'en:bag', 'fr:product', 'fr:sachet-refermable']",,L'Originale - Farine de blé fluide T45
Jif,0051500240946,e,"Roasted peanuts, sugar, contains 2% or less of: Molasses, fully hydrogenated vegetable oils(rapeseed and soybean), mono and diglycerides, salt.",['en:plastic'],,Creamy Peanut Butter
Tower Gate,20005573,a,"sugar, glucose-fructose syrup, 15% orange juice from concentratetd orange juice, wheat flour, cocoa mass, 6% liquid whole egg, palm oil, cocoa butter, stabilisier: sorbitols, gelling agent: pectins, acid: citric acid, raising agents: sodium carbonates, diphosphates, whey powder (milk), emulsifiers: lecithins, mono - and diglycerides of fatty acids, natural orange flavouring, natural vanilla flavouring with other natural flavourings,   salt, wheat starch,","['en:plastic', 'en:container', 'en:pp-polypropylene', 'en:card-box', 'en:faltschachtel']",,Jaffa Cakes
fairlife,0811620021951,unknown,"FILTERED LOW FAT GRADE A MILK, ALKALIZED COCOA, NATURAL FLAVORS, MONK FRUIT JUICE CONCENTRATE, STEVIA LEAF EXTRACT, CARRAGEENAN, CELLULOSE GEL, CELLULOSE GUM, ACESULFAME POTASSIUM, SUCRALOSE, LACTASE ENZYME, VITAMIN A PALMITATE, VITAMIN D3.",['en:plastic'],,Core Power High Protein Milk Shake Chocolate
